Date,Week,Advertiser,Channel,Channel / Tactic,Country,Currency,Website,Tactic,Brand,Booked Impressions,Clicks,Commissions (Local),Commissions (USD),Impressions,Media Cost (Local),Media Cost (USD),Net Items,New Users,Orders,Orders/Click,Quantity,Revenue (Local),Revenue (USD),Sales (Local),Sales (USD),Sessions,Transactions,Video Completions,Video Plays
2017-01-01,2017-01-01,Brand A - CA - EN,Affiliates,Affiliates - Affiliates,CA,CAD,LinkShare,Affiliates,Brand A,,687.0,248.73,184.24,781.0,248.73,184.24,131.0,134.0,64.0,110.0,132.0,4637.06,3434.86,5684.79,4210.96,709.0,49.0,,
2017-01-01,2017-01-01,Brand A - CA - EN,Display,Display - Equity,CA,CAD,Exponential,Equity,Brand A,0.0,122.0,,,140789.0,379.11,280.82,,57.0,,,,0.0,0.0,,,82.0,0.0,804.0,1024.0
2017-01-01,2017-01-01,Brand A - CA - EN,Display,Display - Equity,CA,CAD,QuantCast,Equity,Brand A,0.0,34.0,,,24472.0,0.01,0.01,,3.0,,,,75.0,55.56,,,37.0,1.0,0.0,0.0
2017-01-01,2017-01-01,Brand A - CA - EN,Display,Display - Equity,CA,CAD,Refinery29.com,Equity,Brand A,0.0,0.0,,,7.0,0.1,0.07,,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,0.0
2017-01-01,2017-01-01,Brand A - CA - EN,Display,Display - Equity,CA,CAD,Who What Wear,Equity,Brand A,0.0,0.0,,,3.0,0.0,0.0,,0.0,,,,0.0,0.0,,,1.0,0.0,0.0,0.0
2017-01-01,2017-01-01,Brand A - CA - EN,Display,Display - Remarketing,CA,CAD,Criteo,Remarketing,Brand A,,3444.0,,,486072.0,1351.46,1001.08,,96.0,,,,3174.56,2351.53,,,3753.0,39.0,,
2017-01-01,2017-01-01,Brand A - CA - EN,Paid Search,Brand - Paid Search,CA,CAD,Bing,Brand,Brand A,,259.0,,,775.0,24.99,18.51,,108.0,,,,743.95,551.07,,,240.0,10.0,,
2017-01-01,2017-01-01,Brand A - CA - EN,Social,Social - Equity,CA,CAD,Facebook,Equity,Brand A,,,,,,,,,0.0,,,,0.0,0.0,,,4.0,0.0,,
2017-01-01,2017-01-01,Brand A - CA - EN,Social,Social - Remarketing,CA,CAD,Facebook,Remarketing,Brand A,,,,,,,,,1.0,,,,309.46,229.23,,,226.0,4.0,,
2017-01-01,2017-01-01,Brand A - CA - EN,Social,Social - Remarketing,CA,CAD,Instagram,Remarketing,Brand A,,,,,,,,,0.0,,,,0.0,0.0,,,15.0,0.0,,
2017-01-01,2017-01-01,Brand A - CA - FR,Affiliates,Affiliates - Affiliates,CA,CAD,LinkShare,Affiliates,Brand A,,,,,,,,,0.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-01,2017-01-01,Brand A - CA - FR,Display,Display - Equity,CA,CAD,Exponential,Equity,Brand A,0.0,12.0,,,1057.0,15.84,11.73,,4.0,,,,0.0,0.0,,,7.0,0.0,794.0,1024.0
2017-01-01,2017-01-01,Brand A - CA - FR,Display,Display - Equity,CA,CAD,QuantCast,Equity,Brand A,0.0,0.0,,,11.0,0.03,0.02,,0.0,,,,0.0,0.0,,,4.0,0.0,0.0,0.0
2017-01-01,2017-01-01,Brand A - CA - FR,Display,Display - Remarketing,CA,CAD,Criteo,Remarketing,Brand A,,,,,,0.0,,,8.0,,,,212.85,157.67,,,140.0,3.0,,
2017-01-01,2017-01-01,Brand A - UK,Affiliates,Affiliates - Affiliates,UK,GBP,LinkShare,Affiliates,Brand A,,86.0,90.08,131.52,1.0,90.08,131.52,42.0,24.0,21.0,168.32,42.0,1077.47,1573.11,1229.23,1794.68,97.0,20.0,,
2017-01-01,2017-01-01,Brand A - UK,Affiliates,Affiliates - Affiliates,US,USD,LinkShare,Affiliates,Brand A,,,,,,,,,1.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-01,2017-01-01,Brand A - UK,Display,Display - Equity,UK,GBP,Exponential,Equity,Brand A,0.0,8.0,,,3412.0,0.0,0.0,,5.0,,,,0.0,0.0,,,6.0,0.0,216.0,233.0
